time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,28,9,0,0
2026-06-08 00:00:00+00:00,31,11,0,0
2026-06-09 00:00:00+00:00,28,9,0,0
2026-06-10 00:00:00+00:00,20,7,1,1
2026-06-11 00:00:00+00:00,22,7,0,0
2026-06-12 00:00:00+00:00,26,6,0,0
2026-06-13 00:00:00+00:00,21,6,0,0
2026-06-14 00:00:00+00:00,13,3,0,0
2026-06-15 00:00:00+00:00,21,5,1,1
2026-06-16 00:00:00+00:00,22,6,0,0
2026-06-17 00:00:00+00:00,7,3,0,0
2026-06-18 00:00:00+00:00,30,11,0,0
2026-06-19 00:00:00+00:00,39,9,0,0
2026-06-20 00:00:00+00:00,40,8,1,1
