url_path,views_total,views_unique
/Davis-Fan/X-TED,9,4
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset,7,1
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset/1_Swissport,7,1
/Davis-Fan/X-TED/tree/release_code/X-TED_GPU,3,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/1_Swissport/swissport_nodes_100.txt,2,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/1_Swissport/swissport_nodes_1000.txt,2,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/1_Swissport/swissport_nodes_adj_100.txt,2,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/2_Python/python_nodes_100.txt,2,1
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset/2_Python,2,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/1_Swissport/swissport_nodes_adj_1000.txt,1,1
