url_path,views_total,views_unique
/Davis-Fan/X-TED,18,7
/Davis-Fan/X-TED/tree/release_code,5,2
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset,5,2
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset/2_Python,5,2
/Davis-Fan/X-TED/tree/release_code/Sampled_Dataset/1_Swissport,2,2
/Davis-Fan/X-TED/blob/release_code/LICENSE,1,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/1_Swissport/swissport_nodes_100.txt,1,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/1_Swissport/swissport_nodes_adj_500.txt,1,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/2_Python/python_nodes_100.txt,1,1
/Davis-Fan/X-TED/blob/release_code/Sampled_Dataset/2_Python/python_nodes_400.txt,1,1
